# Generator: analysis/compute_dependency.py --json
# Git commit: ba333cfc8d54e24984076b44d043a05be139e979
# SHA-256: e73025994bab6b5b59fe84235fba2bd23f40e6a4dfc562f8d6c19ddaaa88a86a
# Generated: 2026-07-04
# Tool version: 1.0.0
# Columns: block (0-1), round (0-63), op_type (S1|ch|temp1|S0|maj|temp2|e_new|a_new), is_invariant (1=invariant, 0=nonce-dependent)
#
block,round,op_type,is_invariant
1,54,maj,0
1,54,temp2,0
1,54,e_new,0
1,54,a_new,0
1,55,S1,0
1,55,ch,0
1,55,temp1,0
1,55,S0,0
1,55,maj,0
1,55,temp2,0
1,55,e_new,0
1,55,a_new,0
1,56,S1,0
1,56,ch,0
1,56,temp1,0
1,56,S0,0
1,56,maj,0
1,56,temp2,0
1,56,e_new,0
1,56,a_new,0
1,57,S1,0
1,57,ch,0
1,57,temp1,0
1,57,S0,0
1,57,maj,0
1,57,temp2,0
1,57,e_new,0
1,57,a_new,0
1,58,S1,0
1,58,ch,0
1,58,temp1,0
1,58,S0,0
1,58,maj,0
1,58,temp2,0
1,58,e_new,0
1,58,a_new,0
1,59,S1,0
1,59,ch,0
1,59,temp1,0
1,59,S0,0
1,59,maj,0
1,59,temp2,0
1,59,e_new,0
1,59,a_new,0
1,60,S1,0
1,60,ch,0
1,60,temp1,0
1,60,S0,0
1,60,maj,0
1,60,temp2,0
1,60,e_new,0
1,60,a_new,0
1,61,S1,0
1,61,ch,0
1,61,temp1,0
1,61,S0,0
1,61,maj,0
1,61,temp2,0
1,61,e_new,0
1,61,a_new,0
1,62,S1,0
1,62,ch,0
1,62,temp1,0
1,62,S0,0
1,62,maj,0
1,62,temp2,0
1,62,e_new,0
1,62,a_new,0
1,63,S1,0
1,63,ch,0
1,63,temp1,0
1,63,S0,0
1,63,maj,0
1,63,temp2,0
1,63,e_new,0
1,63,a_new,0
